CAS,R,SMILES,PBT_label
516-37-0,n,OC1CCC2(C)C3CCC4(C)C(CCC4C3=CC(O)C2(O)C1)C(C)C=CC(C)C(C)C,1
518-34-3,n,COc1c(OC)cc2CCN(C)C3Cc4ccc(OC)c(c4)Oc4ccc(cc4)CC4N(C)CCc5cc(OC)c(Oc1c23)cc45,1
522-23-6,n,COc1cc(cc(OC)c1OC)C(=O)OCCN1CCNCC1CCCN1c2ccccc2Sc2ccc(Cl)cc12,1
523-01-3,pr,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1CC1=NCCc2cc(OC)c(OC)cc12,1
527-93-5,n,COc1c(Cl)c2OC(=O)c3c(Oc2c(C)c1Cl)c(Cl)c(O)c(Cl)c3C,1
537-05-3,n,CCOc1ccc(cc1)N=C(Nc1ccc(OC)cc1)Nc1ccc(OC)cc1,1
545-46-0,pr,OCC12CCC(C)C(C)C2C2=CCC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C2(C)CC1,1
545-48-2,pr,OCC12CCC(C)(C)CC2C2=CCC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C2(C)CC1,1
548-40-3,pr,COc1cc2CCN(C)[C@@H]3Cc4ccc(O)c(c4)Oc4ccc(cc4)C[C@@H]4N(C)CCc5cc(OC)c(OC)c(Oc1cc23)c45,1
552-22-7,pr,IOc1cc(C)c(cc1C(C)C)c1cc(C(C)C)c(OI)cc1C,1
558-96-3,n,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br)C(F)(F)C(F)(F)C(F)(F)F,1
558-97-4,pr,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)F,1
559-14-8,pr,FC(=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)F,1
561-28-4,n,Ic1cc(cc(I)c1O)C1(OC(=O)c2ccccc12)c1cc(I)c(O)c(I)c1,1
566-28-9,n,CC(C)CCCC(C)C1CCC2C3C(=O)C=C4CC(O)CCC4(C)C3CCC12C,1
566-44-9,n,CC(C)CCCC(C)C1CCC2C3CCC4CCCC(=O)C4(C)C3CCC12C,1
566-88-1,n,CC(C)CCCC(C)C1CCC2C3CCC4CC(=O)CCC4(C)C3CCC12C,1
566-93-8,pr,CC(C)CCCC(C)C1CCC2C3C=CC4=CC(=O)CCC4(C)C3CCC12C,1
566-96-1,n,CC(C)CCCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3=CCC12C,1
568-81-0,n,Cc1cc2ccccc2c2c1cc1ccccc1c2C,1
569-57-3,pr,COc1ccc(cc1)C(=C(Cl)c1ccc(OC)cc1)c1ccc(OC)cc1,1
